Cohort,Total_Contributions,Total_Benefits,Net_Benefit
1991,322160.25,1029320.39,707160.15
1994,334653.29,1063370.82,728717.53
1995,335845.11,1065614.25,729769.14
1996,336933.18,1067733.30,730800.11
1997,337914.42,1069683.53,731769.10
1998,338747.21,1071352.91,732605.70
1999,339465.92,1072880.57,733414.65
2000,340082.87,1074273.30,734190.43
2001,340591.65,1075479.27,734887.61
2002,340947.53,2152775.17,1811827.65
2003,333001.08,3153212.33,2820211.24
2004,333077.38,3153929.79,2820852.42
2005,333077.38,3153929.79,2820852.42
2006,333077.38,3153929.79,2820852.42
2007,333077.38,3153929.79,2820852.42
2008,333077.38,3153929.79,2820852.42
2009,333077.38,3153929.79,2820852.42
2010,333077.38,3153929.79,2820852.42
2011,333077.38,3153929.79,2820852.42
2012,333077.38,3153929.79,2820852.42
2013,333077.38,3153929.79,2820852.42
2014,333077.38,3153929.79,2820852.42
2015,333077.38,3153929.79,2820852.42
2016,333077.38,3153929.79,2820852.42
2017,333077.38,3153929.79,2820852.42
2018,333077.38,3153929.79,2820852.42
2019,333077.38,3153929.79,2820852.42
2020,333077.38,3153929.79,2820852.42
2021,333077.38,3153929.79,2820852.42
2022,333077.38,3153929.79,2820852.42
2023,333077.38,3153929.79,2820852.42
2024,333077.38,3153929.79,2820852.42
2025,333077.38,3153929.79,2820852.42
2026,333077.38,3153929.79,2820852.42
2027,333077.38,3153929.79,2820852.42
2028,333077.38,3153929.79,2820852.42
2029,333077.38,3153929.79,2820852.42
2030,333077.38,3153929.79,2820852.42
2031,333077.38,3153929.79,2820852.42
2032,333077.38,3153929.79,2820852.42
2033,333077.38,3153929.79,2820852.42
2034,333077.38,3153929.79,2820852.42
2035,333077.38,3153929.79,2820852.42
2036,333077.38,3153929.79,2820852.42
2037,333077.38,3153929.79,2820852.42
2038,333077.38,3153929.79,2820852.42
2039,333077.38,3153929.79,2820852.42
